projeto,modo,status,AT,AC,AE,tempo_s,must_dom_ok,must_eco_ok,must_ling_ok,metodo,seed,fitness_final,AE_raw_surrogate,all_must_ok,best_generation,gens_executed,stop_reason,dom_score,eco_score,ling_score,population_size,generations,elitism_count,mutation_rate,crossover_rate,stable_gens,crossover_operator,team_size_testado
P3,AE_FULL_SURROGATE,OK,0.8650795,0.8,0.8108465833333334,54.25266,True,True,True,GA_CALIBRADO_CCC,20,0.8108465833333334,0.8108465833333334,True,43,63,stable_gens_no_improve,0.6428575,0.857143,1.0,150,200,3,0.005,1.0,20,ccc,4
P3,AE_FULL_SURROGATE,OK,0.8650795,0.8,0.8108465833333334,25.901984,True,True,True,GA_CALIBRADO_CCC,21,0.8108465833333334,0.8108465833333334,True,33,53,stable_gens_no_improve,0.6428575,0.857143,1.0,150,200,3,0.005,1.0,20,ccc,4
P3,AE_FULL_SURROGATE,OK,0.8650795,0.8,0.8108465833333334,11.012588,True,True,True,GA_CALIBRADO_CCC,22,0.8108465833333334,0.8108465833333334,True,25,45,stable_gens_no_improve,0.6428575,0.857143,1.0,150,200,3,0.005,1.0,20,ccc,4
P3,AE_FULL_SURROGATE,OK,0.8650795,0.8,0.8108465833333334,10.19634,True,True,True,GA_CALIBRADO_CCC,23,0.8108465833333334,0.8108465833333334,True,25,45,stable_gens_no_improve,0.6428575,0.857143,1.0,150,200,3,0.005,1.0,20,ccc,4
P3,AE_FULL_SURROGATE,OK,0.8174605,0.8,0.8029100833333334,50.62553,True,True,True,GA_CALIBRADO_CCC,24,0.8029100833333334,0.8029100833333334,True,36,56,stable_gens_no_improve,0.857143,0.857143,0.7857145,150,200,3,0.005,1.0,20,ccc,4
P3,AE_FULL_SURROGATE,OK,0.8650795,0.7666666666666666,0.7830688055555556,78.931878,True,True,True,GA_CALIBRADO_CCC,25,0.7830688055555556,0.7830688055555556,True,27,47,stable_gens_no_improve,0.6428575,0.857143,1.0,150,200,3,0.005,1.0,20,ccc,4
P3,AE_FULL_SURROGATE,OK,0.8650795,0.8,0.8108465833333334,20.485745,True,True,True,GA_CALIBRADO_CCC,26,0.8108465833333334,0.8108465833333334,True,67,87,stable_gens_no_improve,0.6428575,0.857143,1.0,150,200,3,0.005,1.0,20,ccc,4
P3,AE_FULL_SURROGATE,OK,0.8650795,0.8,0.8108465833333334,75.768185,True,True,True,GA_CALIBRADO_CCC,27,0.8108465833333334,0.8108465833333334,True,36,56,stable_gens_no_improve,0.6428575,0.857143,1.0,150,200,3,0.005,1.0,20,ccc,4
P3,AE_FULL_SURROGATE,OK,0.8650795,0.8,0.8108465833333334,64.329951,True,True,True,GA_CALIBRADO_CCC,28,0.8108465833333334,0.8108465833333334,True,52,72,stable_gens_no_improve,0.6428575,0.857143,1.0,150,200,3,0.005,1.0,20,ccc,4
P3,AE_FULL_SURROGATE,OK,0.8174605,0.7999999999999999,0.8029100833333332,84.97641,True,True,True,GA_CALIBRADO_CCC,29,0.8029100833333332,0.8029100833333332,True,78,98,stable_gens_no_improve,0.6428575,0.428572,1.0,150,200,3,0.005,1.0,20,ccc,4
P3,AE_FULL_SURROGATE,OK,0.7380955,0.6666666666666666,0.6785714722222221,15.538996,True,True,True,GA_CALIBRADO_CCC,30,0.6785714722222221,0.6785714722222221,True,34,54,stable_gens_no_improve,0.857143,0.857143,0.6428575,150,200,3,0.005,1.0,20,ccc,4
P4,AE_FULL_SURROGATE,OK,0.857143,0.8666666666666667,0.8587302777777778,6.396302,True,True,True,GA_CALIBRADO_CCC,1,0.8587302777777778,0.8587302777777778,True,12,32,stable_gens_no_improve,0.857143,0.857143,0.857143,150,200,3,0.005,1.0,20,ccc,4
P4,AE_FULL_SURROGATE,OK,0.857143,0.8666666666666667,0.8587302777777778,6.748185,True,True,True,GA_CALIBRADO_CCC,2,0.8587302777777778,0.8587302777777778,True,26,46,stable_gens_no_improve,0.857143,0.857143,0.857143,150,200,3,0.005,1.0,20,ccc,4
