project_id,candidate_id,teacher_score,surrogate_score,absolute_error
P3,P3_T051,0.154972,0.262963,0.107991
P3,P3_T052,0.298361,0.278263,0.020098
P3,P3_T053,0.136166,0.246296,0.110130
P3,P3_T054,0.122672,0.126058,0.003386
P3,P3_T055,0.225552,0.180622,0.044930
P3,P3_T056,0.127983,0.106812,0.021171
P3,P3_T057,0.141478,0.142725,0.001247
P3,P3_T058,0.127983,0.240741,0.112758
P3,P3_T059,0.122672,0.235185,0.112513
P3,P3_T060,0.264114,0.236376,0.027738
P3,P3_T061,0.163156,0.268519,0.105363
P3,P3_T062,0.163156,0.268519,0.105363
P3,P3_T063,0.134669,0.163580,0.028911
P3,P3_T064,0.154972,0.153836,0.001136
P3,P3_T065,0.149661,0.148280,0.001381
P3,P3_T066,0.127983,0.131614,0.003631
P3,P3_T067,0.122672,0.235185,0.112513
P3,P3_T068,0.136166,0.246296,0.110130
P3,P3_T069,0.372164,0.390741,0.018577
P3,P3_T070,0.136166,0.137169,0.001003
P3,P3_T071,0.141478,0.251852,0.110374
P3,P3_T072,0.142750,0.169136,0.026386
P3,P3_T073,0.122672,0.163261,0.040589
P3,P3_T074,0.141478,0.251852,0.110374
P3,P3_T075,0.127983,0.240741,0.112758
P3,P3_T076,0.195456,0.208113,0.012657
P3,P3_T077,0.155683,0.193386,0.037703
P3,P3_T078,0.122672,0.235185,0.112513
P3,P3_T079,0.194450,0.222311,0.027861
P3,P3_T080,0.190145,0.202557,0.012412
P3,P3_T081,0.142760,0.177866,0.035106
P3,P3_T082,0.179090,0.119841,0.059249
P3,P3_T083,0.136166,0.137169,0.001003
P3,P3_T084,0.240047,0.259292,0.019245
P3,P3_T085,0.298361,0.273854,0.024507
P3,P3_T086,0.136166,0.246296,0.110130
P3,P3_T087,0.136166,0.145712,0.009546
P3,P3_T088,0.122672,0.235185,0.112513
P3,P3_T089,0.122672,0.235185,0.112513
P3,P3_T090,0.122672,0.126058,0.003386
P3,P3_T091,0.177619,0.196914,0.019295
P3,P3_T092,0.201477,0.189153,0.012324
P3,P3_T093,0.136166,0.246296,0.110130
P3,P3_T094,0.277419,0.253043,0.024376
P3,P3_T095,0.149661,0.169224,0.019563
P3,P3_T096,0.316219,0.304894,0.011325
P3,P3_T097,0.136166,0.115675,0.020491
P3,P3_T098,0.122672,0.235185,0.112513
P3,P3_T099,0.143917,0.257407,0.113490
P3,P3_T100,0.141478,0.251852,0.110374
P3,P3_T101,0.122672,0.126058,0.003386
P3,P3_T102,0.181528,0.174273,0.007255
P3,P3_T103,0.163156,0.180335,0.017179
P3,P3_T104,0.122672,0.126058,0.003386
P3,P3_T105,0.203640,0.301852,0.098212
P3,P3_T106,0.122672,0.147002,0.024330
P3,P3_T107,0.122672,0.147002,0.024330
P3,P3_T108,0.203640,0.301852,0.098212
P3,P3_T109,0.136166,0.137169,0.001003
P3,P3_T110,0.163156,0.268519,0.105363
P3,P3_T111,0.276138,0.269907,0.006231
P3,P3_T112,0.122672,0.235185,0.112513
P3,P3_T113,0.163156,0.268519,0.105363
P3,P3_T114,0.122672,0.235185,0.112513
P3,P3_T115,0.136166,0.137169,0.001003
P3,P3_T116,0.136166,0.137169,0.001003
P3,P3_T117,0.149661,0.257407,0.107746
P3,P3_T118,0.141478,0.251852,0.110374
P3,P3_T119,0.122672,0.235185,0.112513
P3,P3_T120,0.127983,0.240741,0.112758
P3,P3_T121,0.122672,0.235185,0.112513
P3,P3_T122,0.122672,0.175661,0.052989
P3,P3_T123,0.133294,0.105754,0.027540
P3,P3_T124,0.122672,0.235185,0.112513
P3,P3_T125,0.146789,0.257407,0.110618
P3,P3_T126,0.136166,0.246296,0.110130
P3,P3_T127,0.136166,0.246296,0.110130
P3,P3_T128,0.155683,0.200000,0.044317
P3,P3_T129,0.136166,0.246296,0.110130
P3,P3_T130,0.122672,0.235185,0.112513
P3,P3_T131,0.136166,0.147090,0.010924
P3,P3_T132,0.136166,0.134689,0.001477
P3,P3_T133,0.163156,0.268519,0.105363
P3,P3_T134,0.136166,0.246296,0.110130
P3,P3_T135,0.299947,0.255026,0.044921
P3,P3_T136,0.134669,0.163580,0.028911
P3,P3_T137,0.136166,0.246296,0.110130
P3,P3_T138,0.127983,0.240741,0.112758
P3,P3_T139,0.163156,0.268519,0.105363
P3,P3_T140,0.144431,0.251852,0.107421
P3,P3_T141,0.213779,0.200265,0.013514
P3,P3_T142,0.164574,0.205423,0.040849
P3,P3_T143,0.122672,0.235185,0.112513
P3,P3_T144,0.163156,0.159392,0.003764
P3,P3_T145,0.122672,0.284788,0.162116
P3,P3_T146,0.136166,0.246296,0.110130
P3,P3_T147,0.136166,0.246296,0.110130
P3,P3_T148,0.136166,0.147090,0.010924
P3,P3_T149,0.122672,0.135979,0.013307
P3,P3_T150,0.136166,0.158113,0.021947
P3,P3_T151,0.163156,0.268519,0.105363
P3,P3_T152,0.305564,0.295900,0.009664
P3,P3_T153,0.283624,0.258598,0.025026
P3,P3_T154,0.136166,0.246296,0.110130
P3,P3_T155,0.181528,0.215609,0.034081
P3,P3_T156,0.122672,0.175661,0.052989
P3,P3_T157,0.141478,0.251852,0.110374
P3,P3_T158,0.127983,0.131614,0.003631
P3,P3_T159,0.127983,0.240741,0.112758
P3,P3_T160,0.136166,0.246296,0.110130
P3,P3_T161,0.154972,0.262963,0.107991
P3,P3_T162,0.142760,0.150860,0.008100
P3,P3_T163,0.122672,0.235185,0.112513
P3,P3_T164,0.289431,0.254751,0.034680
P3,P3_T165,0.149661,0.257407,0.107746
P3,P3_T166,0.212414,0.192130,0.020284
P3,P3_T167,0.133294,0.246296,0.113002
P3,P3_T168,0.149661,0.257407,0.107746
P3,P3_T169,0.299947,0.255026,0.044921
P3,P3_T170,0.257252,0.275959,0.018707
P3,P3_T171,0.141478,0.142725,0.001247
P3,P3_T172,0.127983,0.152557,0.024574
P3,P3_T173,0.136166,0.246296,0.110130
P3,P3_T174,0.136166,0.246296,0.110130
P3,P3_T175,0.127983,0.240741,0.112758
P3,P3_T176,0.136166,0.246296,0.110130
P3,P3_T177,0.136166,0.246296,0.110130
